keyword,url,html_url,IRRELEVANT,CONCERNS,CONCERNS2,CONCERNS3,repository_url,id,title,comments,comments_url,updated_at,created_at,closed_at,author_association,body,state,state_reason,score,user.login,user.id,user.type,reactions.total_count,reactions..1,reactions..1.1,reactions.laugh,reactions.hooray,reactions.confused,reactions.heart,reactions.rocket,reactions.eyes,pull_request.url,pull_request.html_url,pull_request.merged_at,pull_request.diff_url,pull_request.patch_url,,,,,,,,
GDPR,https://api.github.com/repos/Eulesia/eulesia/issues/53,https://github.com/Eulesia/eulesia/pull/53,NA,User rights functionality,,,https://api.github.com/repos/Eulesia/eulesia,4206004887,"feat: full v1 feature parity — clubs, rooms, discover, institutions, waitlist",1,https://api.github.com/repos/Eulesia/eulesia/issues/53/comments,2026-04-05T11:59:40Z,2026-04-04T23:24:53Z,2026-04-05T11:59:40Z,COLLABORATOR,"## Summary

Closes all remaining v1 API gaps. After this PR, every frontend endpoint has a v2 Rust equivalent (except admin panel which stays on v1 Node).

## Changes

### New modules (6)
- **Clubs** (~23 endpoints) — full CRUD, membership, invitations, club threads/comments/votes
- **Rooms** — private club queries under /home/rooms/*, shared data model with clubs
- **Discover** — CVS-ranked explore feed, trending, algorithm transparency
- **Institutions** — claim flow, management, topics
- **Waitlist** — public join, admin CRUD with bulk approve
- **Edit history** — thread edit audit trail

### New DB tables (8)
clubs, club_members, club_invitations, institution_claims, institution_managers, institution_topics, waitlist, edit_history + threads.club_id FK

### Small gaps filled
- POST /users/me/onboarding-complete
- GET /users/me/data (GDPR export)
- GET /moderation/my-sanctions + /reports/my-sanctions alias
- POST/DELETE /notifications/push/device-token (FCM)

## Test plan
- [x] cargo check — compiles clean
- [x] cargo test — 178 tests pass
- [ ] Code review
- [ ] Integration test on test server

🤖 Generated with [Claude Code](https://claude.com/claude-code)",closed,NA,1,juliuskoskela,61438579,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/Eulesia/eulesia/pulls/53,https://github.com/Eulesia/eulesia/pull/53,2026-04-05T11:59:40Z,https://github.com/Eulesia/eulesia/pull/53.diff,https://github.com/Eulesia/eulesia/pull/53.patch,,,,,,,,
GDPR,https://api.github.com/repos/thneeb/prelegal/issues/3,https://github.com/thneeb/prelegal/pull/3,NA,Law information page/policy,,,https://api.github.com/repos/thneeb/prelegal,4194058192,PL-2: Add CommonPaper legal document templates dataset,0,https://api.github.com/repos/thneeb/prelegal/issues/3/comments,2026-04-02T11:57:07Z,2026-04-02T11:50:21Z,2026-04-02T11:57:07Z,OWNER,"## Summary

- Curated 12 legal agreement templates from [CommonPaper](https://github.com/CommonPaper) (licensed CC BY 4.0) into the `templates/` directory
- Added `catalog.json` in the project root with `name`, `description`, and `filename` for each template
- Added `templates/LICENSE` with the CC BY 4.0 license attribution

## Templates included

| File | Agreement |
|---|---|
| `Mutual-NDA.md` | Mutual Non-Disclosure Agreement (standard terms) |
| `Mutual-NDA-coverpage.md` | Mutual NDA Cover Page |
| `CSA.md` | Cloud Service Agreement |
| `design-partner-agreement.md` | Design Partner Agreement |
| `sla.md` | Service Level Agreement |
| `psa.md` | Professional Services Agreement |
| `DPA.md` | Data Processing Agreement (GDPR) |
| `Partnership-Agreement.md` | Partnership Agreement |
| `Software-License-Agreement.md` | Software License Agreement |
| `Pilot-Agreement.md` | Pilot Agreement |
| `BAA.md` | Business Associate Agreement (HIPAA) |
| `AI-Addendum.md` | AI Addendum |

## Test plan

- [ ] Verify all 12 markdown files are present in `templates/`
- [ ] Verify `catalog.json` has an entry for each template with correct `name`, `description`, and `filename`
- [ ] Verify `templates/LICENSE` references CC BY 4.0 and links to CommonPaper source
- [ ] Spot-check a template file content matches the source on https://github.com/CommonPaper

🤖 Generated with [Claude Code](https://claude.com/claude-code)",closed,NA,1,thneeb,26486066,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/thneeb/prelegal/pulls/3,https://github.com/thneeb/prelegal/pull/3,2026-04-02T11:57:07Z,https://github.com/thneeb/prelegal/pull/3.diff,https://github.com/thneeb/prelegal/pull/3.patch,,,,,,,,
GDPR,https://api.github.com/repos/Hjulverkstan/hjulverkstan/issues/489,https://github.com/Hjulverkstan/hjulverkstan/pull/489,NA,Data visibility/anonymization ,,,https://api.github.com/repos/Hjulverkstan/hjulverkstan,4192272723,Gdpr purge implementation,3,https://api.github.com/repos/Hjulverkstan/hjulverkstan/issues/489/comments,2026-04-13T06:57:05Z,2026-04-02T07:05:35Z,2026-04-13T06:57:05Z,CONTRIBUTOR," ## Changes                                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                                    
  - [x] fix(web): Add validation of opening and closing hours                                                                                                                                                                                                                                                       
  - [x] feat(api,web): Anonymize customer PII instead of blocking deletion                                                                                                                                                                                                                                          
  - [x] fix(api,web): Flush ticket delete and invalidate customer cache
  - [x] fix(api): Add anonymized column to customer seed data
  - [x] fix(api): Add anonymized column to employee seed data
  - [x] fix(api): Anonymize employee PII

",closed,NA,1,MarioGit24,186037429,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/Hjulverkstan/hjulverkstan/pulls/489,https://github.com/Hjulverkstan/hjulverkstan/pull/489,2026-04-13T06:57:05Z,https://github.com/Hjulverkstan/hjulverkstan/pull/489.diff,https://github.com/Hjulverkstan/hjulverkstan/pull/489.patch,,,,,,,,
GDPR,https://api.github.com/repos/italia/anpr/issues/5267,https://github.com/italia/anpr/issues/5267,NA,Data minimization,,,https://api.github.com/repos/italia/anpr,4193410504,Mancata erogazione servizi in presenza degli attributi corretti,1,https://api.github.com/repos/italia/anpr/issues/5267/comments,2026-04-30T13:57:49Z,2026-04-02T09:56:47Z,2026-04-30T13:57:49Z,NONE,"Buongiorno, scrivo per conto di una città metropolitana, abbiamo chiesto l'accesso ad alcuni servizi (c001 ed altri), da mesi e ogni richiesta resta in attesa di approvazione senza segni di vita (abbiamo anche richieste del 2024). Gli attributi per il servizio sono tra gli altri pubbliche mministrazioni, quindi le rispettiamo. Abbiamo provato a scrivere al referente dei vari eservice, che non ha mai risposto.
Riusciamo solo ad iscriverci a quelli ad approvazione automatica, ma quelli utili hanno come attributo comune (e noi non lo siamo), tipo c007.
Il c001 automatico ha attributi molto diversi dal c001 ""normale"" (solo comuni e ferrovie), quindi siamo bloccati, e le necessità sarebbero stringenti, come si fa ad avere l'accesso previsto?

Ci troviamo in violazione degli articoli 50 e 52 del CAD, nonchè delle linee guida Agid e paradossalmente del Gdpr (art.6 e minimizzazione).",closed,completed,1,Zawardo1000,101346511,User,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,,,,,,,,
GDPR,https://api.github.com/repos/kuwa2005/music-waves-visualizer/issues/33,https://github.com/kuwa2005/music-waves-visualizer/issues/33,NA,Law information page/policy,,,https://api.github.com/repos/kuwa2005/music-waves-visualizer,4201142294,chore: Cookie 永続化・クリップ仕様・プライバシー/仕様ドキュメント同期,2,https://api.github.com/repos/kuwa2005/music-waves-visualizer/issues/33/comments,2026-04-03T15:53:18Z,2026-04-03T15:52:51Z,2026-04-03T15:52:58Z,OWNER,"## 概要
本 Issue は作業単位の整理用です（実装済み）。

## 実装内容
- **設定保存**: `lib/mwvCookieStorage.ts` による第一党 Cookie（分割保存）＋旧 LocalStorage からの移行
- **クリップ長**: 開始秒＋長さ秒でウィンドウ指定。プリセットは長さの目安入力のみ。長さ空欄＝メディア末尾まで
- **コード**: `pages/index.tsx`, `lib/Canvas.ts`, `lib/WebGLRenderer.ts`, `lib/subtitles.ts`, ロケール
- **ドキュメント**: README, SPECIFICATION, 仕様書, PRIVACY_POLICY, EU_GDPR_NOTICE, docs/BUILD.md, CHANGELOG

## 参照
- ブランチ: `feature/srt-subtitles`
- コミット: `632d2e9`",closed,completed,1,kuwa2005,17094347,User,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,,,,,,,,
GDPR,https://api.github.com/repos/Sianlk/buildquote/issues/27,https://github.com/Sianlk/buildquote/pull/27,NA,User rights functionality,,,https://api.github.com/repos/Sianlk/buildquote,4196241707,"feat: Stage 2 — Backend API, DB schemas, GDPR, payments, realtime, deep links",1,https://api.github.com/repos/Sianlk/buildquote/issues/27/comments,2026-04-02T18:36:14Z,2026-04-02T18:25:38Z,2026-04-02T18:28:49Z,OWNER,"## Stage 2 Additions
- FastAPI backend with async SQLAlchemy
- Realestate domain models
- JWT auth + refresh tokens + MFA
- Stripe payments + webhooks
- WebSocket real-time notifications
- GDPR data export + deletion endpoints
- Deep linking (Universal Links + App Links)
- Sentry APM + PII stripping
- k6 load tests (p95 < 500ms SLA)
- Onboarding screens (App Store required)
- Apple Privacy Manifest (PrivacyInfo.xcprivacy)",closed,NA,1,Sianlk,96393513,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/Sianlk/buildquote/pulls/27,https://github.com/Sianlk/buildquote/pull/27,2026-04-02T18:28:49Z,https://github.com/Sianlk/buildquote/pull/27.diff,https://github.com/Sianlk/buildquote/pull/27.patch,,,,,,,,
CCPA,https://api.github.com/repos/Kaiwa-Jun/goshuin-app/issues/68,https://github.com/Kaiwa-Jun/goshuin-app/pull/68,NA,Law information page/policy,,,https://api.github.com/repos/Kaiwa-Jun/goshuin-app,4202929051,feat(legal): 利用規約・プライバシーポリシーページの作成,2,https://api.github.com/repos/Kaiwa-Jun/goshuin-app/issues/68/comments,2026-04-04T01:48:07Z,2026-04-04T01:46:26Z,2026-04-04T01:46:35Z,OWNER,"## Summary
- App Store / Google Play 審査に必要な利用規約・プライバシーポリシーを実装
- アプリの実際のデータ利用（位置情報、カメラ、Google OAuth、Claude API情報抽出、公開設定等）に基づいた内容を記載
- アプリ内ネイティブ画面 + GitHub Pages 用静的HTMLの両方を作成
- SettingsScreen / LoginScreen から遷移可能に

## 変更内容
### 新規
- `src/constants/legal.ts` — 利用規約・プライバシーポリシーのコンテンツ定数
- `src/screens/TermsOfServiceScreen.tsx` / `PrivacyPolicyScreen.tsx` — 法的ページ画面
- `docs/legal/terms.html` / `privacy.html` — GitHub Pages 用静的HTML

### 変更
- `src/navigation/types.ts` — TermsOfService, PrivacyPolicy をルート定義に追加
- `src/navigation/RootNavigator.tsx` — 2画面をスタックに登録
- `src/screens/SettingsScreen.tsx` — 利用規約・PPの onPress 実装
- `src/screens/LoginScreen.tsx` — フッターリンクの onPress 実装

## Test plan
- [x] 新規テスト52件追加（legal定数38件 + 画面テスト12件 + ナビゲーション2件）
- [x] 全テスト652件パス
- [x] Lint エラー0
- [x] 型チェックパス
- [ ] Expo Web でSettingsScreen → 利用規約/PP遷移を確認
- [ ] Expo Web でLoginScreen → 利用規約/PP遷移を確認

Closes #65

🤖 Generated with [Claude Code](https://claude.com/claude-code)",closed,NA,1,Kaiwa-Jun,76391902,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/Kaiwa-Jun/goshuin-app/pulls/68,https://github.com/Kaiwa-Jun/goshuin-app/pull/68,2026-04-04T01:46:35Z,https://github.com/Kaiwa-Jun/goshuin-app/pull/68.diff,https://github.com/Kaiwa-Jun/goshuin-app/pull/68.patch,,,,,,,,
GDPR,https://api.github.com/repos/aaif-goose/goose/issues/8259,https://github.com/aaif-goose/goose/pull/8259,NA,Documentation update,,,https://api.github.com/repos/aaif-goose/goose,4194183148,feat: add EUrouter as a declarative provider,3,https://api.github.com/repos/aaif-goose/goose/issues/8259/comments,2026-05-04T12:30:38Z,2026-04-02T12:11:37Z,2026-04-06T02:18:59Z,NONE,"## Summary

Adds [EUrouter](https://www.eurouter.ai) as a declarative provider, following the same JSON format as existing providers (Tensorix, Groq, Mistral, etc.).

EUrouter is an AI Gateway to European AI, providing a single OpenAI-compatible API endpoint for EU-hosted, GDPR-friendly models.

## Models Included

| Model | Context |
|-------|---------|
| `deepseek-r1` | 65K |
| `kimi-k2.5` | 131K |
| `mistral-large-latest` | 131K |
| `minimax-m2.5` | 1M |

And more. See all available modesl on `https://api.eurouter.ai/api/v1/models`

## Changes

- Added `crates/goose/src/providers/declarative/eurouter.json`

## Authentication

Users set `EUROUTER_API_KEY` in their environment, consistent with the `api_key_env` convention used by other declarative providers.

### Testing

The JSON file follows the exact schema of existing declarative providers and requires no code changes — just the new JSON file in the `declarative/` directory.

### Related Issues
N/A (new provider addition)",closed,NA,1,DavidLoDico,78548292,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/aaif-goose/goose/pulls/8259,https://github.com/aaif-goose/goose/pull/8259,NA,https://github.com/aaif-goose/goose/pull/8259.diff,https://github.com/aaif-goose/goose/pull/8259.patch,,,,,,,,
GDPR,https://api.github.com/repos/open-agreements/open-agreements/issues/157,https://github.com/open-agreements/open-agreements/pull/157,NA,Law compliance test,,,https://api.github.com/repos/open-agreements/open-agreements,4205975052,Add BM25-based search_templates MCP tool,2,https://api.github.com/repos/open-agreements/open-agreements/issues/157/comments,2026-04-04T23:03:52Z,2026-04-04T23:01:37Z,2026-04-04T23:03:41Z,MEMBER,"## Summary
- Adds `search_templates` tool to the hosted MCP server using MiniSearch (BM25 ranking) for keyword-based template discovery
- Fixes category propagation bug where `toTemplateItem()` and `recipeToTemplateItem()` ignored metadata categories — NVCA recipes now correctly report `venture-financing` instead of `general`
- Makes `display_name` a first-class field on `TemplateItem`, surfaced in all API responses (list, get, search, compact mode)

## Details

**Search module** (`src/core/template-search.ts`):
- Indexes: display_name (3x boost), description (2x), category (1.5x), source (1.5x), field_names (1x), section_names (0.5x)
- Length-conditional fuzzy: disabled for terms ≤3 chars to prevent noisy matches on short legal acronyms (NDA, DPA, BAA)
- Exact case-insensitive post-filters for `category` and `source`
- Index rebuilt per request (~0.1ms at 39 templates) — stateless, serverless-safe

**New dependency**: `minisearch` — ESM-native, zero native deps, ~30KB minified, BM25 with configurable boost/prefix/fuzzy

**Scope**: Hosted MCP server only. `packages/contract-templates-mcp` and `packages/contracts-workspace-mcp` unchanged.

## Test plan
- [x] 21 unit tests covering ranking (NDA, GDPR, HIPAA, Wyoming, indemnification, valuation cap), fuzzy/prefix matching, filters, edge cases, and category propagation
- [x] 4 new MCP contract tests (tools/list inclusion, success envelope, INVALID_ARGUMENT, display_name in list_templates)
- [x] Updated api-endpoints test for new tool count (7→8)
- [x] Full suite: 84 files, 770 tests pass (only pre-existing GCloud auth failures excluded)",closed,NA,1,stevenobiajulu,183783362,User,0,0,0,0,0,0,0,0,0,https://api.github.com/repos/open-agreements/open-agreements/pulls/157,https://github.com/open-agreements/open-agreements/pull/157,2026-04-04T23:03:41Z,https://github.com/open-agreements/open-agreements/pull/157.diff,https://github.com/open-agreements/open-agreements/pull/157.patch,,,,,,,,
GDPR,https://api.github.com/repos/Chris0Jeky/Taskdeck/issues/752,https://github.com/Chris0Jeky/Taskdeck/pull/752,NA,Law compliance test,,,https://api.github.com/repos/Chris0Jeky/Taskdeck,4202858999,Test: data export/import round-trip integrity tests (#713),3,https://api.github.com/repos/Chris0Jeky/Taskdeck/issues/752/comments,2026-04-04T01:58:36Z,2026-04-04T01:15:06Z,2026-04-04T01:58:34Z,OWNER,"## Summary
- 64 new round-trip integrity tests for all data export/import pathways
- **Board JSON export/import** (23 tests): full round-trip cycle, special characters (unicode, emoji, markdown, HTML entities), large datasets (100 cards/5 columns), empty boards, WIP limits, card-label associations, cross-user isolation, error cases (corrupt JSON, duplicate labels/columns, orphan references)
- **CSV external import** (23 tests): RFC 4180 edge cases (commas in quoted fields, escaped quotes, newlines in fields), unicode, BOM handling, CRLF, deduplication, large files (1000 rows), max payload/row limits, missing fields, invalid dates, profile validation
- **GDPR data export** (9 tests): full export JSON validity, empty user structure, JSON round-trip fidelity, shared board cross-user isolation, special character escaping, version/timestamp validation
- **Database file export/import** (21 tests): full byte-level round-trip, corrupted/truncated file rejection, SQLite signature validation, size limits, sandbox gating, in-memory DB rejection, connection string parsing
- **Cross-format integrity** (11 tests): format mismatch detection (JSON as CSV, CSV as JSON, binary garbage), wrong JSON shapes, trailing commas, JSON comments

Closes #713

## Test plan
- [x] All 64 new tests pass
- [x] All 1582 Application.Tests pass (no regressions)
- [x] All 410 Domain.Tests pass (no regressions)",closed,NA,1,Chris0Jeky,59696583,User,1,0,0,0,0,0,0,0,1,https://api.github.com/repos/Chris0Jeky/Taskdeck/pulls/752,https://github.com/Chris0Jeky/Taskdeck/pull/752,2026-04-04T01:58:34Z,https://github.com/Chris0Jeky/Taskdeck/pull/752.diff,https://github.com/Chris0Jeky/Taskdeck/pull/752.patch,,,,,,,,
