Term,n
User consent,21
User rights functionality,17
Logging functionality,11
Data visibility/anonymization,10
Design for law compliance,8
Documentation update,7
Law information page/policy,6
Cookie preferences and management,5
Data storage and access control,5
Law information page/policy ,5
Law compliance test,4
Bug related to law functionality,2
Data minimization,2
Data visibility/anonymization ,2
General law compliance,2
Law compliance indication,2
Laws and analytics,2
"Other security (encryption, etc.) ",2
AI agent,1
Law functionality per region,1
Law violation concern,1
Library update,1
Links to law information,1
Non-technical issue,1
